Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",Bandido,6/16/2021,UYB282113006,"2,892",25,203081704,0,0,59.0,0,0,0,0,0,0,0
Ni**as In Paris,Watch the Throne (Deluxe),Jay-Z,1/1/2011,USUM71111621,"2,899",25,1436087930,0,0,76.0,0,0,0,0,0,0,1
Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,4/21/2023,DEE862300656,"2,893",25,136778408,0,0,74.0,0,0,0,0,0,0,0
Butterfly x Boom - Remix,Butterfly x Boom (Remix),Lea,1/13/2022,HKK972201900,"2,897",25,0,382,0,,0,0,0,0,0,0,0
On The Radar Freestyle,On The Radar Freestyle,Drake,7/26/2023,USLD91749183,"2,894",25,86155124,0,0,62.0,0,0,0,0,0,0,1
Forever (feat. Fridayy),It's Only Me,Lil Baby,10/14/2022,USUG12207233,"2,906",25,101717995,0,0,61.0,0,0,63,0,0,0,1
Bang Bang,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,1/1/2014,USUM71409737,"2,895",25,1336196012,0,0,72.0,0,0,0,0,0,0,0
Reminder,Starboy,The Weeknd,11/25/2016,USUG11600998,"2,890",25,1015965940,0,0,77.0,0,0,0,0,0,0,1
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306687,"2,908",25,265932119,0,0,,0,0,0,0,0,0,0
icantbelieveiletyougetaway,icantbelieveiletyougetaway,Aldn,5/31/2024,QZMEQ2463576,"2,896",25,3162942,520,0,63.0,0,0,0,0,0,0,0
Harmless Python,INKUBATOR,Hot Lemon,2/25/2023,USCGJ2325873,"2,905",25,0,0,0,,0,0,0,0,0,0,0
Funk Estranho,Funk Estranho - Single,Prod.67,5/31/2024,QZNWR2410858,"2,902",25,3589,0,0,15.0,0,0,0,0,0,0,0
Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214880,"2,901",25,370800055,0,0,68.0,0,0,0,0,0,0,1
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,5/8/2020,FRY682000003,"2,909",25,437558372,0,0,65.0,0,0,0,0,0,0,0
JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,7/28/2023,USUM72311135,"2,907",25,58058696,0,0,56.0,0,0,0,0,0,0,1
Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,7/8/2021,GBUM72103840,"2,898",25,237619076,0,0,61.0,0,0,0,0,0,0,1
Salt,Salt (The Remixes),Ava Max,12/12/2019,USAT21906991,"2,891",25,388802420,0,0,62.0,0,0,0,0,0,0,0
Fire On Fire,Fire On Fire,Sam Smith,12/21/2018,GBUM71807533,"2,900",25,697834321,0,0,70.0,0,0,0,0,0,0,0
Problema,Problema,Carlos Agassi,9/27/2023,TCAHM2313718,"2,904",25,125395,32,0,,0,0,0,0,0,0,1
Shoong! (feat. LISA of BLACKPINK),Down to Earth,Taeyang,4/25/2023,KSA002300722,"2,903",25,156994096,0,0,61.0,0,0,0,0,0,0,0
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,5/29/2019,USUG11900730,"2,931",25,239850720,0,0,58.0,0,0,0,0,0,0,1
Boyz In Paris (with VINAI),Boyz In Paris (with VINAI),Marnik,7/28/2023,FR9W12333643,"2,919",25,136709117,0,0,73.0,0,0,0,0,0,0,1
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,10/16/2018,USQX91802455,"2,929",25,987061577,0,0,73.0,0,0,0,0,0,0,0
